serie,roll,tid,kategori,innehall,varde
hushall_bolan,kredit,2021-06,MFI | hushåll | småhus,"Utestående avtal, mnkr",2485349
hushall_bolan,kredit,2021-07,MFI | hushåll | småhus,"Utestående avtal, mnkr",2499067
hushall_bolan,kredit,2021-08,MFI | hushåll | småhus,"Utestående avtal, mnkr",2510988
hushall_bolan,kredit,2021-09,MFI | hushåll | småhus,"Utestående avtal, mnkr",2528077
hushall_bolan,kredit,2021-10,MFI | hushåll | småhus,"Utestående avtal, mnkr",2542395
hushall_bolan,kredit,2021-11,MFI | hushåll | småhus,"Utestående avtal, mnkr",2556154
hushall_bolan,kredit,2021-12,MFI | hushåll | småhus,"Utestående avtal, mnkr",2573022
hushall_bolan,kredit,2022-01,MFI | hushåll | småhus,"Utestående avtal, mnkr",2581072
hushall_bolan,kredit,2022-02,MFI | hushåll | småhus,"Utestående avtal, mnkr",2590985
hushall_bolan,kredit,2022-03,MFI | hushåll | småhus,"Utestående avtal, mnkr",2604656
hushall_bolan,kredit,2022-04,MFI | hushåll | småhus,"Utestående avtal, mnkr",2616296
hushall_bolan,kredit,2022-05,MFI | hushåll | småhus,"Utestående avtal, mnkr",2626077
hushall_bolan,kredit,2022-06,MFI | hushåll | småhus,"Utestående avtal, mnkr",2640464
hushall_bolan,kredit,2022-07,MFI | hushåll | småhus,"Utestående avtal, mnkr",2648779
hushall_bolan,kredit,2022-08,MFI | hushåll | småhus,"Utestående avtal, mnkr",2654305
hushall_bolan,kredit,2022-09,MFI | hushåll | småhus,"Utestående avtal, mnkr",2661870
hushall_bolan,kredit,2022-10,MFI | hushåll | småhus,"Utestående avtal, mnkr",2664128
hushall_bolan,kredit,2022-11,MFI | hushåll | småhus,"Utestående avtal, mnkr",2667968
hushall_bolan,kredit,2022-12,MFI | hushåll | småhus,"Utestående avtal, mnkr",2673343
hushall_bolan,kredit,2023-01,MFI | hushåll | småhus,"Utestående avtal, mnkr",2673817
hushall_bolan,kredit,2023-02,MFI | hushåll | småhus,"Utestående avtal, mnkr",2673358
hushall_bolan,kredit,2023-03,MFI | hushåll | småhus,"Utestående avtal, mnkr",2675631
hushall_bolan,kredit,2023-04,MFI | hushåll | småhus,"Utestående avtal, mnkr",2675110
hushall_bolan,kredit,2023-05,MFI | hushåll | småhus,"Utestående avtal, mnkr",2675114
hushall_bolan,kredit,2023-06,MFI | hushåll | småhus,"Utestående avtal, mnkr",2680224
hushall_bolan,kredit,2023-07,MFI | hushåll | småhus,"Utestående avtal, mnkr",2680613
hushall_bolan,kredit,2023-08,MFI | hushåll | småhus,"Utestående avtal, mnkr",2681132
hushall_bolan,kredit,2023-09,MFI | hushåll | småhus,"Utestående avtal, mnkr",2684546
hushall_bolan,kredit,2023-10,MFI | hushåll | småhus,"Utestående avtal, mnkr",2685066
hushall_bolan,kredit,2023-11,MFI | hushåll | småhus,"Utestående avtal, mnkr",2685544
hushall_bolan,kredit,2023-12,MFI | hushåll | småhus,"Utestående avtal, mnkr",2688798
hushall_bolan,kredit,2024-01,MFI | hushåll | småhus,"Utestående avtal, mnkr",2688060
hushall_bolan,kredit,2024-02,MFI | hushåll | småhus,"Utestående avtal, mnkr",2688046
hushall_bolan,kredit,2024-03,MFI | hushåll | småhus,"Utestående avtal, mnkr",2690511
hushall_bolan,kredit,2024-04,MFI | hushåll | småhus,"Utestående avtal, mnkr",2691956
hushall_bolan,kredit,2024-05,MFI | hushåll | småhus,"Utestående avtal, mnkr",2695194
hushall_bolan,kredit,2024-06,MFI | hushåll | småhus,"Utestående avtal, mnkr",2700372
hushall_bolan,kredit,2024-07,MFI | hushåll | småhus,"Utestående avtal, mnkr",2703928
hushall_bolan,kredit,2024-08,MFI | hushåll | småhus,"Utestående avtal, mnkr",2708445
hushall_bolan,kredit,2024-09,MFI | hushåll | småhus,"Utestående avtal, mnkr",2714313
hushall_bolan,kredit,2024-10,MFI | hushåll | småhus,"Utestående avtal, mnkr",2720411
hushall_bolan,kredit,2024-11,MFI | hushåll | småhus,"Utestående avtal, mnkr",2726493
hushall_bolan,kredit,2024-12,MFI | hushåll | småhus,"Utestående avtal, mnkr",2732633
hushall_bolan,kredit,2025-01,MFI | hushåll | småhus,"Utestående avtal, mnkr",2736211
hushall_bolan,kredit,2025-02,MFI | hushåll | småhus,"Utestående avtal, mnkr",2740620
hushall_bolan,kredit,2025-03,MFI | hushåll | småhus,"Utestående avtal, mnkr",2745683
hushall_bolan,kredit,2025-04,MFI | hushåll | småhus,"Utestående avtal, mnkr",2751610
hushall_bolan,kredit,2025-05,MFI | hushåll | småhus,"Utestående avtal, mnkr",2758121
hushall_bolan,kredit,2025-06,MFI | hushåll | småhus,"Utestående avtal, mnkr",2767418
hushall_bolan,kredit,2025-07,MFI | hushåll | småhus,"Utestående avtal, mnkr",2774284
hushall_bolan,kredit,2025-08,MFI | hushåll | småhus,"Utestående avtal, mnkr",2781544
hushall_bolan,kredit,2025-09,MFI | hushåll | småhus,"Utestående avtal, mnkr",2790892
hushall_bolan,kredit,2025-10,MFI | hushåll | småhus,"Utestående avtal, mnkr",2800202
hushall_bolan,kredit,2025-11,MFI | hushåll | småhus,"Utestående avtal, mnkr",2807468
hushall_bolan,kredit,2025-12,MFI | hushåll | småhus,"Utestående avtal, mnkr",2818759
hushall_bolan,kredit,2026-01,MFI | hushåll | småhus,"Utestående avtal, mnkr",2823037
hushall_bolan,kredit,2026-02,MFI | hushåll | småhus,"Utestående avtal, mnkr",2828201
hushall_bolan,kredit,2026-03,MFI | hushåll | småhus,"Utestående avtal, mnkr",2838590
hushall_bolan,kredit,2026-04,MFI | hushåll | småhus,"Utestående avtal, mnkr",2847070
hushall_bolan,kredit,2026-05,MFI | hushåll | småhus,"Utestående avtal, mnkr",2854594
hushall_bolan,kredit,2026-06,MFI | hushåll | småhus,"Utestående avtal, mnkr",2865930
hushall_bolan,kredit,2026-07,MFI | hushåll | småhus,"Utestående avtal, mnkr",2871670
