"region","kön","näringsgren SNI 2007","födelseregion","sysselsatta efter arbetsställets belägenhet 2020","sysselsatta efter arbetsställets belägenhet 2021","sysselsatta efter arbetsställets belägenhet 2022","sysselsatta efter arbetsställets belägenhet 2023","sysselsatta efter arbetsställets belägenhet 2024","sysselsatta efter bostadens belägenhet 2020","sysselsatta efter bostadens belägenhet 2021","sysselsatta efter bostadens belägenhet 2022","sysselsatta efter bostadens belägenhet 2023","sysselsatta efter bostadens belägenhet 2024"
"00 Riket","kvinnor","Q enheter för vård och omsorg, socialtjänst","utrikes född",141786,150311,158494,167109,177756,141791,150311,158499,167113,177756
"00 Riket","kvinnor","R+S+T+U enheter för kultur, nöje och fritid; andra serviceföretag m.m.","totalt",128262,133653,137013,138869,139798,128313,133706,137078,138921,139836
"00 Riket","kvinnor","R+S+T+U enheter för kultur, nöje och fritid; andra serviceföretag m.m.","inrikes född",106275,110234,112597,113759,114331,106318,110277,112653,113801,114367
"00 Riket","kvinnor","R+S+T+U enheter för kultur, nöje och fritid; andra serviceföretag m.m.","utrikes född",21990,23419,24415,25111,25467,21992,23426,24424,25117,25471
"00 Riket","kvinnor","US uppgift saknas","totalt",35477,34934,34434,33736,6618,42222,41392,41796,41731,16493
"00 Riket","kvinnor","US uppgift saknas","inrikes född",25319,24684,24861,24181,5018,28381,27480,28206,27790,9547
"00 Riket","kvinnor","US uppgift saknas","utrikes född",10156,10244,9569,9555,1595,13842,13910,13590,13943,6950
"00 Riket","totalt","A-U+US Total","totalt",4993313,5130302,5251816,5284131,5260642,5021081,5156539,5281104,5315355,5296723
"00 Riket","totalt","A-U+US Total","inrikes född",3987494,4050370,4099156,4097468,4065389,4003648,4065197,4116097,4115246,4085618
"00 Riket","totalt","A-U+US Total","utrikes född",1005821,1079936,1152659,1186664,1195254,1017433,1091341,1165008,1200110,1211106
"00 Riket","totalt","A företag inom jordbruk, skogsbruk och fiske","totalt",95965,93960,92862,91152,92460,95967,93960,92862,91154,92460
"00 Riket","totalt","A företag inom jordbruk, skogsbruk och fiske","inrikes född",89505,87318,86122,84291,84915,89504,87318,86122,84291,84915
"00 Riket","totalt","A företag inom jordbruk, skogsbruk och fiske","utrikes född",6459,6643,6744,6865,7543,6459,6643,6744,6865,7543
"00 Riket","totalt","B+C tillverkningsindustri; gruvor och mineralutvinningsindustri","totalt",538046,549522,559990,560036,561859,538077,549554,560038,560077,561896
"00 Riket","totalt","B+C tillverkningsindustri; gruvor och mineralutvinningsindustri","inrikes född",445537,449827,452417,448149,446850,445561,449856,452449,448177,446875
"00 Riket","totalt","B+C tillverkningsindustri; gruvor och mineralutvinningsindustri","utrikes född",92510,99695,107570,111884,115010,92517,99700,107590,111894,115017
"00 Riket","totalt","D+E företag inom energi och miljö","totalt",53778,55364,55819,58998,61228,53778,55364,55819,58998,61230
"00 Riket","totalt","D+E företag inom energi och miljö","inrikes född",48373,49544,49510,52210,53959,48373,49544,49510,52210,53962
"00 Riket","totalt","D+E företag inom energi och miljö","utrikes född",5407,5822,6311,6785,7268,5407,5822,6311,6785,7268
"00 Riket","totalt","F byggindustri","totalt",364994,373904,387646,382587,371773,364994,373920,387695,382638,371809
"00 Riket","totalt","F byggindustri","inrikes född",306745,309962,317756,312522,304838,306745,309977,317804,312571,304868
"00 Riket","totalt","F byggindustri","utrikes född",58247,63945,69888,70065,66935,58247,63945,69893,70068,66939
"00 Riket","totalt","G handel; serviceverkstäder för motorfordon och motorcyklar","totalt",588085,599314,610964,610146,607434,588085,599314,610964,610146,607437
"00 Riket","totalt","G handel; serviceverkstäder för motorfordon och motorcyklar","inrikes född",491562,496770,502424,499379,495964,491562,496770,502424,499379,495965
"00 Riket","totalt","G handel; serviceverkstäder för motorfordon och motorcyklar","utrikes född",96522,102544,108539,110769,111474,96522,102544,108539,110769,111475
"00 Riket","totalt","H transport- och magasineringsföretag","totalt",225245,230389,229386,230433,232328,228896,234176,233174,234138,236031
"00 Riket","totalt","H transport- och magasineringsföretag","inrikes född",164960,164560,160099,158147,158473,168001,167688,163210,161190,161534
"00 Riket","totalt","H transport- och magasineringsföretag","utrikes född",60281,65827,69283,72282,73856,60891,66489,69959,72948,74493
"00 Riket","totalt","I hotell och restauranger","totalt",160434,178063,194396,195910,197296,160434,178063,194396,195910,197296
"00 Riket","totalt","I hotell och restauranger","inrikes född",90331,100885,109366,108913,110146,90331,100885,109366,108913,110146
"00 Riket","totalt","I hotell och restauranger","utrikes född",70105,77181,85033,86996,87147,70105,77181,85033,86996,87147
"00 Riket","totalt","J informations- och kommunikationsföretag","totalt",219468,232095,245657,250018,245815,219469,232095,245657,250017,245821
"00 Riket","totalt","J informations- och kommunikationsföretag","inrikes född",177949,185959,194033,195802,192302,177953,185960,194033,195804,192307
"00 Riket","totalt","J informations- och kommunikationsföretag","utrikes född",41518,46136,51621,54214,53513,41518,46136,51621,54214,53513
"00 Riket","totalt","K kreditinstitut och försäkringsbolag m.m.","totalt",98499,101039,106336,109653,112057,98525,101070,106362,109678,112087
"00 Riket","totalt","K kreditinstitut och försäkringsbolag m.m.","inrikes född",86208,87408,91153,93757,95823,86233,87435,91175,93783,95845
"00 Riket","totalt","K kreditinstitut och försäkringsbolag m.m.","utrikes född",12291,13631,15187,15893,16237,12293,13635,15188,15898,16239
"00 Riket","totalt","L fastighetsbolag och fastighetsförvaltare","totalt",87519,88633,89131,88729,88586,87519,88637,89134,88730,88586
"00 Riket","totalt","L fastighetsbolag och fastighetsförvaltare","inrikes född",76427,77100,77062,76294,76114,76427,77105,77062,76298,76117
"00 Riket","totalt","L fastighetsbolag och fastighetsförvaltare","utrikes född",11094,11535,12072,12430,12470,11094,11535,12072,12430,12470
"00 Riket","totalt","M+N företag inom juridik, ekonomi, vetenskap och teknik; företag inom uthyrning, fastighetsservice, resetjänster och andra stödtjänster","totalt",601232,637379,670286,673170,676427,601407,637608,670555,673451,676724
"00 Riket","totalt","M+N företag inom juridik, ekonomi, vetenskap och teknik; företag inom uthyrning, fastighetsservice, resetjänster och andra stödtjänster","inrikes född",458351,478943,496417,497564,497805,458518,479156,496667,497828,498086
"00 Riket","totalt","M+N företag inom juridik, ekonomi, vetenskap och teknik; företag inom uthyrning, fastighetsservice, resetjänster och andra stödtjänster","utrikes född",142880,158437,173871,175605,178624,142890,158454,173887,175621,178639
"00 Riket","totalt","O civila myndigheter och försvaret","totalt",321156,326852,334805,343556,350792,322026,327785,335776,344469,351793
"00 Riket","totalt","O civila myndigheter och försvaret","inrikes född",282572,287592,294029,302312,309554,283339,288406,294872,303093,310408
"00 Riket","totalt","O civila myndigheter och försvaret","utrikes född",38583,39260,40774,41248,41238,38684,39378,40903,41373,41385
"00 Riket","totalt","P utbildningsväsendet","totalt",543868,548210,551464,551597,551053,543881,548228,551500,551652,551150
"00 Riket","totalt","P utbildningsväsendet","inrikes född",431401,431572,430299,428425,427372,431413,431589,430328,428461,427429
"00 Riket","totalt","P utbildningsväsendet","utrikes född",112470,116638,121163,123173,123684,112468,116637,121173,123193,123720
"00 Riket","totalt","Q enheter för vård och omsorg, socialtjänst","totalt",806499,819504,821801,833330,861384,806520,819511,821807,833333,861393
"00 Riket","totalt","Q enheter för vård och omsorg, socialtjänst","inrikes född",606740,606912,597769,597109,609886,606750,606923,597777,597115,609891
"00 Riket","totalt","Q enheter för vård och omsorg, socialtjänst","utrikes född",199761,212591,224030,236215,251500,199770,212590,224030,236213,251501
"00 Riket","totalt","R+S+T+U enheter för kultur, nöje och fritid; andra serviceföretag m.m.","totalt",219697,228499,234353,237058,237751,219822,228607,234466,237147,237825
"00 Riket","totalt","R+S+T+U enheter för kultur, nöje och fritid; andra serviceföretag m.m.","inrikes född",179897,186154,190261,191677,192223,180004,186242,190357,191758,192290
"00 Riket","totalt","R+S+T+U enheter för kultur, nöje och fritid; andra serviceföretag m.m.","utrikes född",39802,42345,44092,45379,45529,39816,42365,44107,45391,45539
"00 Riket","totalt","US uppgift saknas","totalt",68830,67569,66920,67763,12398,91677,88642,90899,93817,43193
"00 Riket","totalt","US uppgift saknas","inrikes född",50934,49860,50444,50915,9164,62933,60350,62944,64366,24973
"00 Riket","totalt","US uppgift saknas","utrikes född",17893,17709,16472,16849,3230,28746,28297,27958,29451,18215
"18 Örebro län","män","A-U+US Total","totalt",74838,76674,78122,78295,78107,74394,76246,77731,77747,77291
"18 Örebro län","män","A-U+US Total","inrikes född",62245,63053,63555,63422,63218,61691,62476,63004,62719,62259
"18 Örebro län","män","A-U+US Total","utrikes född",12590,13624,14563,14874,14889,12701,13770,14729,15030,15032
"18 Örebro län","män","A företag inom jordbruk, skogsbruk och fiske","totalt",2145,2156,2043,2021,1994,2119,2125,2016,2015,1986
"18 Örebro län","män","A företag inom jordbruk, skogsbruk och fiske","inrikes född",2032,2043,1942,1909,1869,2020,2016,1920,1906,1859
"18 Örebro län","män","A företag inom jordbruk, skogsbruk och fiske","utrikes född",108,114,101,109,125,99,109,100,110,130
"18 Örebro län","män","B+C tillverkningsindustri; gruvor och mineralutvinningsindustri","totalt",15122,15523,15743,15892,16052,14892,15253,15529,15602,15656
"18 Örebro län","män","B+C tillverkningsindustri; gruvor och mineralutvinningsindustri","inrikes född",13206,13419,13468,13593,13734,12948,13142,13239,13281,13321
"18 Örebro län","män","B+C tillverkningsindustri; gruvor och mineralutvinningsindustri","utrikes född",1923,2106,2273,2298,2321,1944,2113,2287,2321,2336
"18 Örebro län","män","D+E företag inom energi och miljö","totalt",935,982,959,978,973,933,966,961,961,968
"18 Örebro län","män","D+E företag inom energi och miljö","inrikes född",851,892,868,880,875,846,874,865,868,864
"18 Örebro län","män","D+E företag inom energi och miljö","utrikes född",84,90,92,96,97,81,87,95,95,101
"18 Örebro län","män","F byggindustri","totalt",9765,9954,10205,10028,9816,9828,10017,10178,9991,9740
"18 Örebro län","män","F byggindustri","inrikes född",8848,8916,9031,8836,8652,8893,8959,8998,8812,8629
"18 Örebro län","män","F byggindustri","utrikes född",914,1038,1175,1190,1165,937,1052,1181,1181,1111
"18 Örebro län","män","G handel; serviceverkstäder för motorfordon och motorcyklar","totalt",9460,9781,10137,10128,10120,9650,10005,10366,10302,10265
"18 Örebro län","män","G handel; serviceverkstäder för motorfordon och motorcyklar","inrikes född",7984,8120,8316,8208,8194,8160,8337,8506,8368,8323
"18 Örebro län","män","G handel; serviceverkstäder för motorfordon och motorcyklar","utrikes född",1474,1664,1821,1917,1923,1489,1668,1862,1931,1946
"18 Örebro län","män","H transport- och magasineringsföretag","totalt",5363,5509,5415,5300,5363,5438,5623,5544,5404,5454
"18 Örebro län","män","H transport- och magasineringsföretag","inrikes född",3933,3952,3802,3694,3729,3980,3999,3885,3750,3786
"18 Örebro län","män","H transport- och magasineringsföretag","utrikes född",1432,1559,1618,1605,1637,1456,1623,1662,1652,1668
"18 Örebro län","män","I hotell och restauranger","totalt",1949,2046,2113,2124,2138,1986,2099,2201,2200,2189
"18 Örebro län","män","I hotell och restauranger","inrikes född",854,911,898,921,979,869,950,960,965,986
"18 Örebro län","män","I hotell och restauranger","utrikes född",1096,1139,1216,1196,1161,1114,1145,1240,1238,1201
"18 Örebro län","män","J informations- och kommunikationsföretag","totalt",2434,2507,2604,2647,2545,2523,2674,2818,2887,2772
"18 Örebro län","män","J informations- och kommunikationsföretag","inrikes född",2269,2326,2396,2427,2350,2346,2477,2579,2631,2531
"18 Örebro län","män","J informations- och kommunikationsföretag","utrikes född",161,180,209,220,200,176,198,240,254,241
"18 Örebro län","män","K kreditinstitut och försäkringsbolag m.m.","totalt",540,570,526,551,543,610,638,632,661,641
"18 Örebro län","män","K kreditinstitut och försäkringsbolag m.m.","inrikes född",467,483,437,464,470,536,549,536,560,557
"18 Örebro län","män","K kreditinstitut och försäkringsbolag m.m.","utrikes född",73,88,91,87,76,66,86,100,99,83
"18 Örebro län","män","L fastighetsbolag och fastighetsförvaltare","totalt",1658,1562,1569,1554,1593,1700,1627,1616,1593,1631
"18 Örebro län","män","L fastighetsbolag och fastighetsförvaltare","inrikes född",1453,1380,1383,1370,1406,1489,1435,1417,1408,1441
"18 Örebro län","män","L fastighetsbolag och fastighetsförvaltare","utrikes född",202,182,186,186,191,212,193,195,191,191
"18 Örebro län","män","M+N företag inom juridik, ekonomi, vetenskap och teknik; företag inom uthyrning, fastighetsservice, resetjänster och andra stödtjänster","totalt",7036,7544,7905,7913,7825,7091,7675,7968,7969,7921
"18 Örebro län","män","M+N företag inom juridik, ekonomi, vetenskap och teknik; företag inom uthyrning, fastighetsservice, resetjänster och andra stödtjänster","inrikes född",5743,5987,6212,6215,6082,5759,6064,6244,6248,6118
"18 Örebro län","män","M+N företag inom juridik, ekonomi, vetenskap och teknik; företag inom uthyrning, fastighetsservice, resetjänster och andra stödtjänster","utrikes född",1291,1556,1694,1695,1743,1332,1613,1729,1717,1802
"18 Örebro län","män","O civila myndigheter och försvaret","totalt",5431,5490,5398,5546,5841,4436,4411,4315,4392,4583
"18 Örebro län","män","O civila myndigheter och försvaret","inrikes född",4910,4961,4878,5018,5283,3963,3924,3841,3916,4076
"18 Örebro län","män","O civila myndigheter och försvaret","utrikes född",519,526,517,527,560,471,487,471,480,507
"18 Örebro län","män","P utbildningsväsendet","totalt",4324,4293,4313,4320,4242,4326,4281,4328,4302,4228
