"region","näringsgren SNI 2007","kön","Antal 2008","Antal 2009","Antal 2010","Antal 2011","Antal 2012","Antal 2013","Antal 2014","Antal 2015","Antal 2016","Antal 2017","Antal 2018"
"1862 Degerfors","K finans- och försäkringsverksamhet","kvinnor",5,5,6,6,3,3,3,2,1,0,0
"1862 Degerfors","L fastighetsverksamhet","män",19,19,17,17,19,18,17,21,20,19,21
"1862 Degerfors","L fastighetsverksamhet","kvinnor",4,7,6,4,3,3,6,9,5,8,9
"1862 Degerfors","M+N företagstjänster","män",73,68,93,98,91,116,111,120,95,95,88
"1862 Degerfors","M+N företagstjänster","kvinnor",79,68,77,84,76,82,69,65,72,59,56
"1862 Degerfors","O offentlig förvaltning och försvar","män",20,24,17,20,23,24,20,23,23,21,22
"1862 Degerfors","O offentlig förvaltning och försvar","kvinnor",36,33,33,31,35,30,31,33,43,44,48
"1862 Degerfors","P utbildning ","män",75,84,81,80,71,54,62,66,77,74,72
"1862 Degerfors","P utbildning ","kvinnor",317,299,285,287,286,235,269,268,280,284,296
"1862 Degerfors","Q vård och omsorg; sociala tjänster","män",56,57,51,51,61,61,69,86,93,87,76
"1862 Degerfors","Q vård och omsorg; sociala tjänster","kvinnor",496,477,491,477,476,464,474,485,500,500,490
"1862 Degerfors","R+S+T+U kulturella och personliga tjänster m.m.","män",74,49,45,55,60,64,65,66,57,50,58
"1862 Degerfors","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",66,55,59,61,67,105,62,60,59,60,59
"1862 Degerfors","00 okänd verksamhet","män",25,37,34,32,26,31,34,28,32,27,49
"1862 Degerfors","00 okänd verksamhet","kvinnor",22,21,25,23,25,23,34,35,31,32,39
"1863 Hällefors","A jordbruk, skogsbruk och fiske","män",69,74,75,89,87,85,72,77,67,58,56
"1863 Hällefors","A jordbruk, skogsbruk och fiske","kvinnor",22,25,23,25,25,21,21,25,25,22,25
"1863 Hällefors","B+C tillverkning och utvinning","män",613,604,632,630,599,593,593,589,575,616,664
"1863 Hällefors","B+C tillverkning och utvinning","kvinnor",123,119,123,128,125,129,128,121,121,118,125
"1863 Hällefors","D+E energiförsörjning; miljöverksamhet","män",29,32,30,27,30,25,17,16,17,15,16
"1863 Hällefors","D+E energiförsörjning; miljöverksamhet","kvinnor",5,5,3,2,1,1,1,1,0,2,0
"1863 Hällefors","F byggverksamhet","män",182,198,202,219,212,204,207,202,198,180,183
"1863 Hällefors","F byggverksamhet","kvinnor",15,14,15,19,17,17,15,14,12,13,14
"1863 Hällefors","G handel","män",170,96,83,85,94,91,92,86,72,75,75
"1863 Hällefors","G handel","kvinnor",118,95,86,93,94,82,91,91,88,91,90
"1863 Hällefors","H transport och magasinering","män",138,141,152,149,146,133,126,113,102,96,62
"1863 Hällefors","H transport och magasinering","kvinnor",20,16,22,17,17,17,15,14,15,13,12
"1863 Hällefors","I hotell- och restaurangverksamhet","män",55,65,65,64,66,70,63,54,71,67,68
"1863 Hällefors","I hotell- och restaurangverksamhet","kvinnor",126,144,147,126,155,131,138,139,155,138,132
"1863 Hällefors","J information och kommunikation","män",10,11,13,8,5,6,6,7,6,9,7
"1863 Hällefors","J information och kommunikation","kvinnor",11,10,10,6,6,7,6,6,4,7,6
"1863 Hällefors","K finans- och försäkringsverksamhet","män",4,4,3,2,2,3,5,3,3,3,3
"1863 Hällefors","K finans- och försäkringsverksamhet","kvinnor",9,8,8,8,5,5,5,5,6,4,4
"1863 Hällefors","L fastighetsverksamhet","män",16,19,13,17,19,16,15,16,23,21,22
"1863 Hällefors","L fastighetsverksamhet","kvinnor",9,9,9,8,5,5,7,5,7,10,13
"1863 Hällefors","M+N företagstjänster","män",43,53,39,41,45,63,60,66,68,59,53
"1863 Hällefors","M+N företagstjänster","kvinnor",58,52,46,45,46,51,54,57,56,50,48
"1863 Hällefors","O offentlig förvaltning och försvar","män",15,11,10,20,20,18,16,22,21,16,16
"1863 Hällefors","O offentlig förvaltning och försvar","kvinnor",34,30,30,33,31,36,37,30,37,36,36
"1863 Hällefors","P utbildning ","män",108,80,65,60,56,66,75,75,94,95,93
"1863 Hällefors","P utbildning ","kvinnor",248,223,219,219,211,221,229,231,262,262,265
"1863 Hällefors","Q vård och omsorg; sociala tjänster","män",63,65,61,67,65,87,93,86,105,98,111
"1863 Hällefors","Q vård och omsorg; sociala tjänster","kvinnor",467,452,451,453,438,430,448,440,463,454,470
"1863 Hällefors","R+S+T+U kulturella och personliga tjänster m.m.","män",26,26,27,37,39,38,37,28,26,29,32
"1863 Hällefors","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",46,53,59,61,62,50,47,54,50,43,37
"1863 Hällefors","00 okänd verksamhet","män",30,17,20,27,18,21,23,17,24,52,60
"1863 Hällefors","00 okänd verksamhet","kvinnor",20,11,14,20,22,23,21,21,19,30,40
"1864 Ljusnarsberg","A jordbruk, skogsbruk och fiske","män",37,32,31,43,39,37,30,29,33,33,32
"1864 Ljusnarsberg","A jordbruk, skogsbruk och fiske","kvinnor",8,10,10,13,12,15,11,12,8,9,11
"1864 Ljusnarsberg","B+C tillverkning och utvinning","män",386,387,374,394,390,407,398,404,408,415,418
"1864 Ljusnarsberg","B+C tillverkning och utvinning","kvinnor",128,117,110,121,124,122,132,122,130,122,127
"1864 Ljusnarsberg","D+E energiförsörjning; miljöverksamhet","män",14,18,22,15,24,25,21,16,17,19,18
"1864 Ljusnarsberg","D+E energiförsörjning; miljöverksamhet","kvinnor",0,0,1,1,3,2,1,0,2,1,1
"1864 Ljusnarsberg","F byggverksamhet","män",95,97,106,108,101,102,95,97,103,100,100
"1864 Ljusnarsberg","F byggverksamhet","kvinnor",4,4,5,5,5,6,8,9,13,15,12
"1864 Ljusnarsberg","G handel","män",106,61,70,59,58,52,51,55,60,63,54
"1864 Ljusnarsberg","G handel","kvinnor",80,62,51,53,52,55,57,56,48,53,51
"1864 Ljusnarsberg","H transport och magasinering","män",31,32,28,23,22,26,26,25,24,24,23
"1864 Ljusnarsberg","H transport och magasinering","kvinnor",11,10,10,13,10,9,9,8,8,7,9
"1864 Ljusnarsberg","I hotell- och restaurangverksamhet","män",8,11,8,12,13,18,19,17,11,11,12
"1864 Ljusnarsberg","I hotell- och restaurangverksamhet","kvinnor",18,21,23,31,30,31,35,31,26,27,23
"1864 Ljusnarsberg","J information och kommunikation","män",5,5,5,3,2,1,3,3,2,4,5
"1864 Ljusnarsberg","J information och kommunikation","kvinnor",8,5,4,3,2,1,3,0,0,2,5
"1864 Ljusnarsberg","K finans- och försäkringsverksamhet","män",5,6,6,7,8,5,3,3,3,2,5
"1864 Ljusnarsberg","K finans- och försäkringsverksamhet","kvinnor",10,11,9,13,13,8,8,9,8,8,7
"1864 Ljusnarsberg","L fastighetsverksamhet","män",18,16,14,15,16,12,15,17,12,10,5
