"region","kön","näringsgren SNI 2007","födelseregion","sysselsatta efter arbetsställets belägenhet 2020","sysselsatta efter arbetsställets belägenhet 2021","sysselsatta efter arbetsställets belägenhet 2022","sysselsatta efter arbetsställets belägenhet 2023","sysselsatta efter arbetsställets belägenhet 2024","sysselsatta efter bostadens belägenhet 2020","sysselsatta efter bostadens belägenhet 2021","sysselsatta efter bostadens belägenhet 2022","sysselsatta efter bostadens belägenhet 2023","sysselsatta efter bostadens belägenhet 2024"
"00 Riket","totalt","J informations- och kommunikationsföretag","totalt",219582,226534,241011,249914,246625,219582,226536,241012,249915,246627
"00 Riket","totalt","J informations- och kommunikationsföretag","inrikes född",178313,182526,191219,196107,193011,178314,182527,191220,196108,193014
"00 Riket","totalt","J informations- och kommunikationsföretag","utrikes född",41267,44010,49793,53807,53613,41267,44010,49793,53807,53613
"00 Riket","totalt","K kreditinstitut och försäkringsbolag m.m.","totalt",98016,100733,105364,109103,112087,98041,100759,105391,109130,112114
"00 Riket","totalt","K kreditinstitut och försäkringsbolag m.m.","inrikes född",85985,87603,90494,93337,95889,86007,87627,90518,93360,95912
"00 Riket","totalt","K kreditinstitut och försäkringsbolag m.m.","utrikes född",12031,13130,14869,15767,16199,12034,13133,14873,15771,16201
"00 Riket","totalt","L fastighetsbolag och fastighetsförvaltare","totalt",87768,88751,89955,89952,89583,87771,88754,89959,89955,89586
"00 Riket","totalt","L fastighetsbolag och fastighetsförvaltare","inrikes född",76568,77218,77819,77519,76993,76570,77220,77822,77522,76996
"00 Riket","totalt","L fastighetsbolag och fastighetsförvaltare","utrikes född",11200,11534,12137,12433,12590,11200,11534,12137,12433,12590
"00 Riket","totalt","M+N företag inom juridik, ekonomi, vetenskap och teknik; företag inom uthyrning, fastighetsservice, resetjänster och andra stödtjänster","totalt",604772,620029,657948,669671,674631,604990,620225,658220,669971,674934
"00 Riket","totalt","M+N företag inom juridik, ekonomi, vetenskap och teknik; företag inom uthyrning, fastighetsservice, resetjänster och andra stödtjänster","inrikes född",462949,469169,489884,494917,498963,463153,469351,490138,495200,499250
"00 Riket","totalt","M+N företag inom juridik, ekonomi, vetenskap och teknik; företag inom uthyrning, fastighetsservice, resetjänster och andra stödtjänster","utrikes född",141824,150860,168064,174754,175669,141837,150874,168083,174771,175684
"00 Riket","totalt","O civila myndigheter och försvaret","totalt",319669,327619,334093,342790,351393,320531,328530,335045,343743,352343
"00 Riket","totalt","O civila myndigheter och försvaret","inrikes född",281503,287953,293527,301238,309605,282275,288752,294359,302057,310414
"00 Riket","totalt","O civila myndigheter och försvaret","utrikes född",38166,39666,40566,41553,41788,38256,39778,40688,41686,41928
"00 Riket","totalt","P utbildningsväsendet","totalt",539309,542376,546556,549379,552731,539327,542389,546578,549423,552806
"00 Riket","totalt","P utbildningsväsendet","inrikes född",429307,428498,427786,427180,428647,429322,428510,427805,427208,428691
"00 Riket","totalt","P utbildningsväsendet","utrikes född",110001,113878,118770,122201,124084,110004,113878,118775,122215,124114
"00 Riket","totalt","Q enheter för vård och omsorg, socialtjänst","totalt",818658,828955,833069,840222,872258,818667,828963,833077,840230,872264
"00 Riket","totalt","Q enheter för vård och omsorg, socialtjänst","inrikes född",618521,617790,609024,604624,619431,618528,617798,609033,604631,619435
"00 Riket","totalt","Q enheter för vård och omsorg, socialtjänst","utrikes född",200137,211165,224046,235599,252827,200140,211166,224046,235599,252828
"00 Riket","totalt","R+S+T+U enheter för kultur, nöje och fritid; andra serviceföretag m.m.","totalt",220171,220749,232826,235428,236647,220305,220862,232931,235527,236729
"00 Riket","totalt","R+S+T+U enheter för kultur, nöje och fritid; andra serviceföretag m.m.","inrikes född",180525,180207,189387,190662,191703,180642,180303,189476,190749,191776
"00 Riket","totalt","R+S+T+U enheter för kultur, nöje och fritid; andra serviceföretag m.m.","utrikes född",39646,40542,43439,44765,44943,39663,40560,43456,44779,44954
"00 Riket","totalt","US uppgift saknas","totalt",69899,70711,70206,70186,12901,93411,91517,93743,95670,43384
"00 Riket","totalt","US uppgift saknas","inrikes född",52200,52142,52928,53110,9852,64810,62554,65315,66395,25652
"00 Riket","totalt","US uppgift saknas","utrikes född",17699,18569,17279,17076,3049,28600,28963,28427,29275,17731
"18 Örebro län","män","A-U+US Total","totalt",75145,76086,78023,78622,78395,74982,75681,77763,78282,77745
"18 Örebro län","män","A-U+US Total","inrikes född",62677,62869,63705,63797,63536,62382,62386,63272,63255,62750
"18 Örebro län","män","A-U+US Total","utrikes född",12469,13218,14318,14825,14860,12600,13294,14491,15028,14996
"18 Örebro län","män","A företag inom jordbruk, skogsbruk och fiske","totalt",2205,2156,2074,2043,1999,2175,2123,2045,2019,1989
"18 Örebro län","män","A företag inom jordbruk, skogsbruk och fiske","inrikes född",2093,2040,1973,1939,1882,2070,2015,1948,1914,1870
"18 Örebro län","män","A företag inom jordbruk, skogsbruk och fiske","utrikes född",111,114,101,104,117,106,107,98,105,119
"18 Örebro län","män","B+C tillverkningsindustri; gruvor och mineralutvinningsindustri","totalt",15297,15470,15840,15961,16104,15074,15209,15597,15708,15755
"18 Örebro län","män","B+C tillverkningsindustri; gruvor och mineralutvinningsindustri","inrikes född",13374,13443,13607,13648,13786,13136,13186,13352,13368,13422
"18 Örebro län","män","B+C tillverkningsindustri; gruvor och mineralutvinningsindustri","utrikes född",1923,2028,2233,2313,2318,1939,2024,2244,2340,2331
"18 Örebro län","män","D+E företag inom energi och miljö","totalt",952,974,982,990,990,952,965,983,979,981
"18 Örebro län","män","D+E företag inom energi och miljö","inrikes född",869,885,889,894,893,869,879,890,886,884
"18 Örebro län","män","D+E företag inom energi och miljö","utrikes född",84,88,93,95,96,84,86,93,93,98
"18 Örebro län","män","F byggindustri","totalt",9605,9813,9997,10030,9748,9701,9877,10038,10018,9687
"18 Örebro län","män","F byggindustri","inrikes född",8745,8830,8886,8846,8618,8816,8882,8914,8825,8590
"18 Örebro län","män","F byggindustri","utrikes född",859,982,1110,1183,1130,884,995,1125,1192,1097
"18 Örebro län","män","G handel; serviceverkstäder för motorfordon och motorcyklar","totalt",9552,9726,10107,10271,10189,9793,9982,10354,10506,10392
"18 Örebro län","män","G handel; serviceverkstäder för motorfordon och motorcyklar","inrikes född",8076,8144,8340,8369,8270,8299,8394,8572,8572,8457
"18 Örebro län","män","G handel; serviceverkstäder för motorfordon och motorcyklar","utrikes född",1475,1583,1768,1900,1920,1494,1588,1781,1934,1934
"18 Örebro län","män","H transport- och magasineringsföretag","totalt",5353,5449,5436,5337,5333,5436,5540,5603,5448,5452
"18 Örebro län","män","H transport- och magasineringsföretag","inrikes född",3984,3952,3845,3746,3713,4037,4000,3940,3816,3804
"18 Örebro län","män","H transport- och magasineringsföretag","utrikes född",1369,1497,1591,1593,1620,1401,1539,1664,1632,1649
"18 Örebro län","män","I hotell och restauranger","totalt",1926,1881,2103,2132,2131,1999,1956,2213,2239,2219
"18 Örebro län","män","I hotell och restauranger","inrikes född",849,812,918,928,969,897,874,1000,995,1010
"18 Örebro län","män","I hotell och restauranger","utrikes född",1078,1070,1185,1206,1162,1103,1080,1213,1244,1208
"18 Örebro län","män","J informations- och kommunikationsföretag","totalt",2461,2490,2552,2659,2600,2566,2602,2753,2869,2796
"18 Örebro län","män","J informations- och kommunikationsföretag","inrikes född",2292,2314,2355,2444,2397,2370,2415,2529,2621,2552
"18 Örebro län","män","J informations- och kommunikationsföretag","utrikes född",169,176,197,216,203,196,188,226,248,244
"18 Örebro län","män","K kreditinstitut och försäkringsbolag m.m.","totalt",533,560,551,550,551,617,627,638,656,657
"18 Örebro län","män","K kreditinstitut och försäkringsbolag m.m.","inrikes född",469,481,464,464,473,552,549,545,557,568
"18 Örebro län","män","K kreditinstitut och försäkringsbolag m.m.","utrikes född",64,80,86,86,79,64,79,92,99,89
