"region","näringsgren SNI 2007","kön","Antal 2008","Antal 2009","Antal 2010","Antal 2011","Antal 2012","Antal 2013","Antal 2014","Antal 2015","Antal 2016","Antal 2017","Antal 2018"
"06 Jönköpings län","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",3080,3061,3120,3148,3190,3308,3266,3204,3341,3386,3429
"06 Jönköpings län","00 okänd verksamhet","män",841,764,700,722,674,673,711,697,672,735,763
"06 Jönköpings län","00 okänd verksamhet","kvinnor",1037,962,1004,1049,1110,1059,1089,1073,1019,1229,1393
"07 Kronobergs län","A jordbruk, skogsbruk och fiske","män",2089,2224,2297,2836,2687,2686,2752,2735,2595,2583,2435
"07 Kronobergs län","A jordbruk, skogsbruk och fiske","kvinnor",538,584,599,891,772,768,795,831,741,800,702
"07 Kronobergs län","B+C tillverkning och utvinning","män",17404,15064,15357,15709,15124,14232,14028,13906,14025,14578,14735
"07 Kronobergs län","B+C tillverkning och utvinning","kvinnor",4778,4136,4139,4157,4033,3745,3660,3454,3480,3528,3640
"07 Kronobergs län","D+E energiförsörjning; miljöverksamhet","män",426,406,432,462,473,465,454,437,459,472,465
"07 Kronobergs län","D+E energiförsörjning; miljöverksamhet","kvinnor",105,103,109,111,105,101,98,101,114,114,111
"07 Kronobergs län","F byggverksamhet","män",5026,4922,5030,5147,5279,5186,5226,5246,5440,5563,5795
"07 Kronobergs län","F byggverksamhet","kvinnor",450,432,437,443,470,432,454,437,470,508,548
"07 Kronobergs län","G handel","män",6298,6105,6060,6107,6252,6244,6456,6675,6686,6707,6807
"07 Kronobergs län","G handel","kvinnor",5136,4818,4906,4843,5049,5164,5200,5422,5418,5394,5315
"07 Kronobergs län","H transport och magasinering","män",3773,3633,3715,3684,3684,3653,3742,3769,3854,3878,3916
"07 Kronobergs län","H transport och magasinering","kvinnor",1097,1009,1015,1056,1099,1078,1053,1037,1029,1022,1069
"07 Kronobergs län","I hotell- och restaurangverksamhet","män",745,777,842,846,917,950,978,981,1041,1138,1143
"07 Kronobergs län","I hotell- och restaurangverksamhet","kvinnor",1186,1166,1267,1249,1320,1312,1290,1341,1378,1403,1350
"07 Kronobergs län","J information och kommunikation","män",1728,1685,1700,2027,2063,2098,2059,2025,2140,2279,2326
"07 Kronobergs län","J information och kommunikation","kvinnor",1015,1019,983,1176,1182,1108,1129,1130,1135,1191,1214
"07 Kronobergs län","K finans- och försäkringsverksamhet","män",566,582,592,601,623,636,601,571,492,501,408
"07 Kronobergs län","K finans- och försäkringsverksamhet","kvinnor",668,652,635,624,614,615,616,587,501,444,435
"07 Kronobergs län","L fastighetsverksamhet","män",682,753,703,752,759,801,800,801,813,789,834
"07 Kronobergs län","L fastighetsverksamhet","kvinnor",351,359,363,376,382,384,392,444,501,497,492
"07 Kronobergs län","M+N företagstjänster","män",3769,3631,3994,4128,3919,4211,4546,4925,5062,5434,5774
"07 Kronobergs län","M+N företagstjänster","kvinnor",3199,2937,3066,3080,2922,2992,3297,3728,3920,4119,4233
"07 Kronobergs län","O offentlig förvaltning och försvar","män",1368,1414,1443,1399,1414,1444,1455,1482,1589,1590,1715
"07 Kronobergs län","O offentlig förvaltning och försvar","kvinnor",2042,2117,2161,2172,2173,2227,2285,2368,2545,2650,2815
"07 Kronobergs län","P utbildning ","män",2198,2189,2203,2154,2190,2246,2351,2445,2624,2716,2779
"07 Kronobergs län","P utbildning ","kvinnor",6889,6743,6767,6828,6908,6963,7095,7257,7592,7965,8123
"07 Kronobergs län","Q vård och omsorg; sociala tjänster","män",2334,2424,2455,2514,2718,2824,2929,3044,3319,3403,3390
"07 Kronobergs län","Q vård och omsorg; sociala tjänster","kvinnor",12836,12599,12892,12904,13339,13345,13453,13605,13852,13591,13577
"07 Kronobergs län","R+S+T+U kulturella och personliga tjänster m.m.","män",1451,1453,1394,1419,1556,1690,1656,1564,1535,1523,1453
"07 Kronobergs län","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",1813,1845,1818,1825,1974,2026,2026,2004,2005,2020,1986
"07 Kronobergs län","00 okänd verksamhet","män",713,607,663,673,611,667,574,651,667,789,772
"07 Kronobergs län","00 okänd verksamhet","kvinnor",1317,1174,1217,1279,1035,995,892,970,1086,1341,1300
"08 Kalmar län","A jordbruk, skogsbruk och fiske","män",3252,3387,3513,4107,4026,3985,3982,3910,3804,3816,3660
"08 Kalmar län","A jordbruk, skogsbruk och fiske","kvinnor",699,737,782,1075,1051,1068,1082,1055,952,1028,964
"08 Kalmar län","B+C tillverkning och utvinning","män",17754,15570,15935,15991,15304,14848,14940,14910,14668,14977,15262
"08 Kalmar län","B+C tillverkning och utvinning","kvinnor",5275,4572,4753,4749,4559,4379,4313,4252,4230,4412,4452
"08 Kalmar län","D+E energiförsörjning; miljöverksamhet","män",1682,1697,1686,1649,1626,1661,1688,1734,1643,1591,1552
"08 Kalmar län","D+E energiförsörjning; miljöverksamhet","kvinnor",393,405,403,411,423,444,470,460,457,435,442
